"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
44944,21044,"VALORANT Champions 2021 - Group Stage","Icebox",600,"Vivo Keyd",727,"X10 CRIT",6,13,"standard","2021-12-06T00:00:00.000Z","[2901,81,1661,2901,5288,277,81,1661,2901,5288,277,81,1661,5288,277,81,1661,2901,5288,277,81,1661,2901,5288,277]","[766,3113,3113,3113,3113,3113,6890,6890,6890,6890,6890,766,766,766,766,671,671,671,671,671,3642,3642,3642,3642,3642]",71
44942,21043,"VALORANT Champions 2021 - Group Stage","Bind",2597,"Acend",75,"Team Envy",13,11,"standard","2021-12-06T00:00:00.000Z","[732,691,1334,2391,3208,691,732,1334,2391,3208,691,732,1334,2391,3208,691,732,1334,2391,3208,691,732,1334,2391,3208]","[398,398,398,398,398,2841,2841,2841,2841,2841,2716,2716,2716,2716,2716,3211,3211,3211,3211,3211,2483,2483,2483,2483,2483]",71
44941,21043,"VALORANT Champions 2021 - Group Stage","Ascent",2597,"Acend",75,"Team Envy",13,8,"standard","2021-12-06T00:00:00.000Z","[732,1334,691,2391,3208,732,1334,691,2391,3208,732,1334,691,2391,3208,732,1334,691,2391,3208,732,1334,691,2391,3208]","[3211,3211,398,398,398,398,398,2483,2483,2483,2483,2483,2716,2716,2716,2716,2716,2841,2841,2841,2841,2841,3211,3211,3211]",71
44790,20970,"VALORANT Champions 2021 - Group Stage","Breeze",227,"FULL SENSE",141,"Cloud9",12,14,"standard","2021-12-05T00:00:00.000Z","[2018,531,676,2122,2564,2018,531,676,2122,2564,2018,531,676,2122,2564,2018,531,676,2122,2564,2018,531,676,2122,2564]","[2213,1961,1961,1961,1961,1961,4639,4639,4639,4639,4639,3599,3599,3599,3599,3599,13591,13591,13591,13591,13591,2213,2213,2213,2213]",71
44789,20970,"VALORANT Champions 2021 - Group Stage","Split",227,"FULL SENSE",141,"Cloud9",7,13,"standard","2021-12-05T00:00:00.000Z","[676,2018,531,2122,2564,676,2018,531,2122,2564,676,2018,531,2122,2564,676,2018,531,2122,2564,676,2018,531,2122,2564]","[4639,4639,4639,4639,4639,1961,1961,1961,1961,1961,13591,13591,13591,13591,13591,3599,3599,3599,3599,3599,2213,2213,2213,2213,2213]",71
44848,20999,"VALORANT Champions 2021 - Group Stage","Haven",976,"KRÜ Esports",1264,"FURIA Esports",13,9,"standard","2021-12-05T00:00:00.000Z","[3535,4710,2532,4712,1725,3535,4710,2532,4712,1725,3535,4710,2532,4712,1725,3535,4710,2532,4712,1725,3535,4710,2532,4712,1725]","[2752,2752,2752,2752,2752,6039,6039,6039,6039,6039,3203,3203,3203,3203,3203,2749,2749,2749,2749,2749,2423,2423,2423,2423,2423]",71
44847,20999,"VALORANT Champions 2021 - Group Stage","Ascent",976,"KRÜ Esports",1264,"FURIA Esports",13,8,"standard","2021-12-05T00:00:00.000Z","[4712,1725,4712,3535,4710,2532,1725,4712,3535,4710,2532,1725,4712,3535,4710,2532,1725,3535,4710,2532,1725,4712,3535,4710,2532]","[6039,2423,2423,2423,2423,2423,2749,2749,2749,2749,2749,3203,3203,3203,3203,3203,6039,6039,6039,6039,2752,2752,2752,2752,2752]",71
44846,20999,"VALORANT Champions 2021 - Group Stage","Fracture",976,"KRÜ Esports",1264,"FURIA Esports",11,13,"standard","2021-12-05T00:00:00.000Z","[3535,1725,4712,4710,3535,1725,2532,4712,2532,4710,3535,1725,2532,4712,4710,3535,1725,2532,4712,4710,3535,1725,2532,4712,4710]","[3203,3203,2423,2423,2423,2423,6039,6039,2423,6039,6039,6039,2749,2749,2749,2749,2749,2752,2752,2752,2752,2752,3203,3203,3203]",71
44796,20972,"VALORANT Champions 2021 - Group Stage","Haven",4696,"Team Secret",444,"Crazy Raccoon",13,2,"standard","2021-12-05T00:00:00.000Z","[193,3076,405,2674,9537,193,3076,405,2674,9537,193,3076,405,2674,9537,193,3076,405,2674,9537,193,3076,405,2674,9537]","[876,3011,3011,3011,3011,3011,1824,1824,1824,1824,1824,1843,1843,1843,1843,1843,2388,2388,2388,2388,2388,876,876,876,876]",71
44795,20972,"VALORANT Champions 2021 - Group Stage","Split",4696,"Team Secret",444,"Crazy Raccoon",13,5,"standard","2021-12-05T00:00:00.000Z","[9537,2674,193,405,3076,2674,9537,193,405,3076,2674,9537,193,405,3076,2674,9537,193,405,3076,2674,9537,193,405,3076]","[1843,1843,876,876,876,876,876,1075,1075,1075,1075,1075,2388,2388,2388,2388,2388,1824,1824,1824,1824,1824,1843,1843,1843]",71
43611,20460,"VALORANT Champions 2021 - Group Stage","Breeze",2597,"Acend",600,"Vivo Keyd",13,10,"standard","2021-12-05T00:00:00.000Z","[691,732,2391,1334,3208,691,732,2391,1334,3208,691,732,2391,1334,3208,691,732,2391,1334,3208,691,732,2391,1334,3208]","[277,277,277,277,277,81,81,81,81,81,2901,2901,2901,2901,2901,1661,1661,1661,1661,1661,5288,5288,5288,5288,5288]",71
44851,21000,"VALORANT Champions 2021 - Group Stage","Split",224,"Team Liquid",388,"Sentinels",13,10,"standard","2021-12-04T00:00:00.000Z","[2056,1403,2056,10211,17788,1690,1403,2056,10211,17788,1690,1403,10211,17788,1690,1403,2056,10211,17788,1690,1403,2056,10211,17788,1690]","[3033,724,724,724,724,724,1485,1485,1485,1485,1485,3033,3033,3033,3033,1614,1614,1614,1614,1614,893,893,893,893,893]",71
44850,21000,"VALORANT Champions 2021 - Group Stage","Bind",224,"Team Liquid",388,"Sentinels",2,13,"standard","2021-12-04T00:00:00.000Z","[1690,10211,2056,17788,1403,1690,10211,2056,17788,1403,1690,1403,17788,10211,2056,17788,1403,1690,10211,2056,17788,1403,1690,10211,2056]","[724,724,724,1485,1485,1485,1485,1485,1614,1614,1614,724,724,1614,1614,3033,3033,3033,3033,3033,893,893,893,893,893]",71
44849,21000,"VALORANT Champions 2021 - Group Stage","Breeze",224,"Team Liquid",388,"Sentinels",14,12,,"2021-12-04T00:00:00.000Z","[1403,17788,2056,10211,1690,1403,17788,2056,10211,1690,1403,17788,2056,10211,1690,1403,17788,2056,10211,1690,1403,17788,2056,10211,1690]","[724,3033,3033,3033,3033,3033,893,893,893,893,893,1614,1614,1614,1614,1614,1485,1485,1485,1485,1485,724,724,724,724]",71
44794,20971,"VALORANT Champions 2021 - Group Stage","Icebox",255,"Gambit Esports",53,"Team Vikings",14,12,"standard","2021-12-04T00:00:00.000Z","[2528,1964,3135,1081,2528,274,1964,3135,1081,2528,274,1964,3135,1081,2528,274,1964,3135,1081,274,1964,3135,1081,2528,274]","[2294,2895,2895,2895,2895,2895,1877,1877,1877,1877,1877,3105,3105,3105,3105,3105,2294,2294,2294,2294,194,194,194,194,194]",71
